total_timesteps,iterations,ep_len_mean,ep_rew_mean,fps,time_elapsed
128,1,nan,nan,3116,0.0
256,2,23.4,-36.14,3021,0.1
384,3,24.1,-37.21,3749,0.1
512,4,26.19,-41.7438,4267,0.1
640,5,26.19,-41.7438,4615,0.1
768,6,29.96,-49.6478,4902,0.2
896,7,29.26,-48.2222,5139,0.2
1024,8,28.9,-47.5032,5351,0.2
1152,9,28.31,-46.2886,5523,0.2
1280,10,27.95,-45.5243,5682,0.2
1408,11,29.7,-49.22,5790,0.2
1536,12,31.95,-53.9628,5899,0.3
1664,13,31.76,-53.5674,6001,0.3
1792,14,31.96,-54.0,6090,0.3
1920,15,32.26,-54.6474,6164,0.3
2048,16,31.72,-53.5164,6235,0.3
2176,17,31.47,-52.9955,6254,0.3
2304,18,30.89,-51.7789,6311,0.4
2432,19,30.65,-51.2811,6368,0.4
2560,20,30.77,-51.5385,6416,0.4
2688,21,30.96,-51.9443,6469,0.4
2816,22,31.43,-52.9386,6512,0.4
2944,23,32.3,-54.7586,6533,0.5
3072,24,32.17,-54.4611,6565,0.5
3200,25,32.39,-54.9415,6593,0.5
3328,26,32.12,-54.3737,6623,0.5
3456,27,32.56,-55.276,6656,0.5
3584,28,32.76,-55.716,6682,0.5
3712,29,32.54,-55.234,6692,0.6
3840,30,32.09,-54.289,6710,0.6
3968,31,31.6,-53.28,6736,0.6
4096,32,31.56,-53.196,6758,0.6
4224,33,31.91,-53.911,6778,0.6
4352,34,32.3,-54.73,6797,0.6
4480,35,32.25,-54.625,6788,0.7
4608,36,31.35,-52.735,6800,0.7
4736,37,30.94,-51.874,6813,0.7
4864,38,31.08,-52.148,6830,0.7
4992,39,30.83,-51.623,6839,0.7
5120,40,30.79,-51.539,6853,0.7
5248,41,30.96,-51.896,6852,0.8
5376,42,31.45,-52.925,6864,0.8
5504,43,31.44,-52.904,6880,0.8
5632,44,31.35,-52.715,6895,0.8
5760,45,30.84,-51.644,6909,0.8
5888,46,30.22,-50.342,6925,0.9
6016,47,30.11,-50.131,6929,0.9
6144,48,29.17,-48.137,6936,0.9
6272,49,29.22,-48.242,6945,0.9
6400,50,28.92,-47.612,6961,0.9
6528,51,29.88,-49.648,6972,0.9
6656,52,30.05,-50.025,6986,1.0
6784,53,30.18,-50.318,6983,1.0
6912,54,30.32,-50.612,6987,1.0
7040,55,30.82,-51.662,6995,1.0
7168,56,30.96,-51.956,7005,1.0
7296,57,30.72,-51.472,7013,1.0
7424,58,30.48,-50.968,7023,1.1
7552,59,30.0,-49.96,7024,1.1
7680,60,29.97,-49.897,7031,1.1
7808,61,29.69,-49.329,7040,1.1
7936,62,29.62,-49.182,7049,1.1
8064,63,29.78,-49.518,7058,1.1
8192,64,29.94,-49.854,7064,1.2
8320,65,29.68,-49.308,7065,1.2
8448,66,29.73,-49.393,7066,1.2
8576,67,30.01,-49.981,7071,1.2
8704,68,30.38,-50.758,7076,1.2
8832,69,30.38,-50.758,7082,1.2
