total_timesteps,iterations,ep_len_mean,ep_rew_mean,fps,time_elapsed
128,1,14.0,-18.3333,2012,0.1
256,2,18.3,-27.83,2078,0.1
384,3,18.6,-28.5267,2698,0.1
512,4,19.1,-29.61,3202,0.2
640,5,20.84,-33.204,3616,0.2
768,6,21.59,-34.8219,3955,0.2
896,7,21.08,-33.7605,4242,0.2
1024,8,21.02,-33.6568,4486,0.2
1152,9,20.91,-33.4264,4668,0.2
1280,10,20.55,-32.6897,4850,0.3
1408,11,20.58,-32.7516,5013,0.3
1536,12,20.93,-33.4899,5164,0.3
1664,13,20.82,-33.277,5301,0.3
1792,14,21.47,-34.6449,5422,0.3
1920,15,21.53,-34.7647,5502,0.3
2048,16,21.46,-34.6122,5594,0.4
2176,17,21.44,-34.5863,5684,0.4
2304,18,21.93,-35.633,5766,0.4
2432,19,21.7,-35.15,5837,0.4
2560,20,21.76,-35.256,5905,0.4
2688,21,21.95,-35.655,5943,0.5
2816,22,21.81,-35.381,5990,0.5
2944,23,21.75,-35.235,6046,0.5
3072,24,21.92,-35.572,6097,0.5
3200,25,21.94,-35.614,6145,0.5
3328,26,21.63,-34.963,6190,0.5
3456,27,22.05,-35.845,6214,0.6
3584,28,21.88,-35.488,6255,0.6
3712,29,21.8,-35.32,6292,0.6
3840,30,21.44,-34.564,6328,0.6
3968,31,21.03,-33.703,6366,0.6
4096,32,21.36,-34.396,6403,0.6
4224,33,21.33,-34.333,6424,0.7
4352,34,21.36,-34.396,6451,0.7
4480,35,21.18,-34.018,6478,0.7
4608,36,21.57,-34.837,6509,0.7
4736,37,21.83,-35.403,6538,0.7
4864,38,21.73,-35.193,6562,0.7
4992,39,21.15,-33.995,6571,0.8
5120,40,20.81,-33.301,6596,0.8
5248,41,20.79,-33.259,6610,0.8
5376,42,20.87,-33.427,6628,0.8
5504,43,20.69,-33.049,6639,0.8
5632,44,20.64,-32.944,6655,0.8
5760,45,20.45,-32.545,6662,0.9
5888,46,20.5,-32.65,6676,0.9
6016,47,20.87,-33.427,6690,0.9
6144,48,21.08,-33.868,6707,0.9
6272,49,20.79,-33.259,6724,0.9
6400,50,20.43,-32.503,6740,0.9
6528,51,20.08,-31.768,6747,1.0
6656,52,19.78,-31.118,6757,1.0
6784,53,19.25,-30.005,6770,1.0
6912,54,19.66,-30.846,6785,1.0
7040,55,19.81,-31.161,6801,1.0
7168,56,19.9,-31.35,6813,1.1
7296,57,19.75,-31.035,6825,1.1
7424,58,19.99,-31.539,6829,1.1
7552,59,20.04,-31.644,6839,1.1
7680,60,20.01,-31.581,6851,1.1
7808,61,20.08,-31.728,6863,1.1
7936,62,19.19,-29.859,6873,1.2
8064,63,19.04,-29.544,6885,1.2
8192,64,19.02,-29.502,6886,1.2
8320,65,18.88,-29.208,6896,1.2
8448,66,19.02,-29.502,6907,1.2
8576,67,19.02,-29.522,6915,1.2
8704,68,19.15,-29.795,6926,1.3
8832,69,18.87,-29.227,6937,1.3
8960,70,19.16,-29.836,6938,1.3
9088,71,19.2,-29.92,6944,1.3
9216,72,19.05,-29.605,6953,1.3
9344,73,18.93,-29.353,6959,1.3
9472,74,18.8,-29.08,6967,1.4
9600,75,18.65,-28.765,6974,1.4
9728,76,18.81,-29.101,6973,1.4
9856,77,19.13,-29.773,6980,1.4
9984,78,18.73,-28.933,6985,1.4
10112,79,18.65,-28.765,3881,2.6
10240,80,18.35,-28.115,3902,2.6
10368,81,18.08,-27.548,3926,2.6
10496,82,18.37,-28.157,3947,2.7
10624,83,18.07,-27.527,3969,2.7
10752,84,17.61,-26.561,3991,2.7
10880,85,17.6,-26.54,4013,2.7
11008,86,17.68,-26.688,4036,2.7
11136,87,17.52,-26.352,4058,2.7
11264,88,17.61,-26.541,4079,2.8
11392,89,17.57,-26.457,4097,2.8
11520,90,17.34,-25.974,4118,2.8
11648,91,17.35,-25.995,4139,2.8
11776,92,17.65,-26.625,4160,2.8
11904,93,17.76,-26.856,4180,2.8
12032,94,17.77,-26.897,4200,2.9
12160,95,17.89,-27.149,4219,2.9
12288,96,18.2,-27.8,4238,2.9
12416,97,18.12,-27.632,4257,2.9
12544,98,17.99,-27.359,4276,2.9
12672,99,17.86,-27.086,4295,2.9
12800,100,17.79,-26.939,4314,3.0
12928,101,17.63,-26.603,4328,3.0
13056,102,17.64,-26.624,4346,3.0
13184,103,17.6,-26.54,4364,3.0
13312,104,17.29,-25.889,4381,3.0
13440,105,16.91,-25.091,4398,3.1
13568,106,16.97,-25.217,4416,3.1
13696,107,17.63,-26.603,4430,3.1
13824,108,17.51,-26.311,4446,3.1
13952,109,16.84,-24.884,4463,3.1
14080,110,16.88,-24.948,4480,3.1
14208,111,17.07,-25.347,4496,3.2
14336,112,17.39,-26.019,4513,3.2
14464,113,17.16,-25.536,4527,3.2
14592,114,17.43,-26.123,4543,3.2
14720,115,17.43,-26.123,4559,3.2
14848,116,17.45,-26.145,4574,3.2
14976,117,17.42,-26.082,4590,3.3
15104,118,17.61,-26.481,4605,3.3
15232,119,17.63,-26.523,4618,3.3
15360,120,16.8,-24.78,4632,3.3
15488,121,16.8,-24.82,4646,3.3
15616,122,16.86,-24.966,4662,3.3
15744,123,16.52,-24.272,4676,3.4
15872,124,16.02,-23.222,4690,3.4
16000,125,16.01,-23.161,4702,3.4
16128,126,15.43,-21.923,4715,3.4
16256,127,15.39,-21.839,4728,3.4
16384,128,15.32,-21.692,4742,3.5
16512,129,14.78,-20.558,4755,3.5
16640,130,14.61,-20.201,4769,3.5
16768,131,14.75,-20.495,4781,3.5
16896,132,14.78,-20.538,4793,3.5
17024,133,14.71,-20.391,4806,3.5
17152,134,14.55,-20.055,4819,3.6
17280,135,14.6,-20.14,4832,3.6
17408,136,14.81,-20.581,4845,3.6
17536,137,14.72,-20.412,4855,3.6
17664,138,14.87,-20.727,4867,3.6
17792,139,14.73,-20.453,4879,3.6
17920,140,15.03,-21.083,4891,3.7
18048,141,14.91,-20.811,4903,3.7
18176,142,14.9,-20.79,4915,3.7
18304,143,14.9,-20.81,4926,3.7
18432,144,15.09,-21.209,4937,3.7
18560,145,14.72,-20.412,4948,3.8
18688,146,14.98,-20.938,4960,3.8
18816,147,14.66,-20.306,4972,3.8
18944,148,14.54,-20.034,4984,3.8
19072,149,14.18,-19.298,4994,3.8
19200,150,14.4,-19.76,5004,3.8
19328,151,13.81,-18.521,5015,3.9
19456,152,13.79,-18.499,5026,3.9
19584,153,13.66,-18.206,5036,3.9
19712,154,13.49,-17.849,5047,3.9
19840,155,13.5,-17.89,5056,3.9
19968,156,13.37,-17.637,5066,3.9
20096,157,13.35,-17.595,5037,4.0
20224,158,13.34,-17.574,5047,4.0
20352,159,13.7,-18.35,5058,4.0
20480,160,13.76,-18.456,5065,4.0
20608,161,13.82,-18.542,5075,4.1
20736,162,13.71,-18.311,5085,4.1
20864,163,13.78,-18.458,5094,4.1
20992,164,13.82,-18.522,5104,4.1
21120,165,13.72,-18.312,5114,4.1
21248,166,13.85,-18.585,5121,4.1
21376,167,13.68,-18.228,5130,4.2
21504,168,13.66,-18.186,5140,4.2
21632,169,13.48,-17.808,5149,4.2
21760,170,13.25,-17.345,5159,4.2
21888,171,13.07,-17.007,5168,4.2
22016,172,13.09,-17.029,5176,4.3
22144,173,13.15,-17.155,5184,4.3
22272,174,12.99,-16.859,5193,4.3
22400,175,13.02,-16.922,5202,4.3
22528,176,12.98,-16.838,5211,4.3
22656,177,13.27,-17.447,5220,4.3
22784,178,13.23,-17.363,5228,4.4
22912,179,13.05,-16.965,5236,4.4
23040,180,13.19,-17.259,5245,4.4
23168,181,13.24,-17.364,5254,4.4
23296,182,13.36,-17.616,5262,4.4
23424,183,13.31,-17.531,5271,4.4
23552,184,13.23,-17.343,5278,4.5
23680,185,13.2,-17.28,5287,4.5
23808,186,13.25,-17.365,5295,4.5
23936,187,13.02,-16.882,5303,4.5
24064,188,12.99,-16.819,5311,4.5
24192,189,13.34,-17.554,5320,4.5
24320,190,13.42,-17.742,5327,4.6
24448,191,13.28,-17.448,5334,4.6
24576,192,13.12,-17.112,5342,4.6
24704,193,13.07,-17.007,5349,4.6
24832,194,12.88,-16.628,5357,4.6
24960,195,12.89,-16.649,5364,4.7
25088,196,13.02,-16.922,5371,4.7
25216,197,12.71,-16.271,5378,4.7
25344,198,12.61,-16.061,5386,4.7
25472,199,12.09,-14.949,5394,4.7
25600,200,11.95,-14.655,5401,4.7
25728,201,11.99,-14.719,5406,4.8
25856,202,12.17,-15.097,5412,4.8
25984,203,12.11,-14.971,5419,4.8
26112,204,12.43,-15.663,5426,4.8
26240,205,12.43,-15.663,5433,4.8
26368,206,12.27,-15.327,5440,4.8
26496,207,12.22,-15.222,5447,4.9
26624,208,12.1,-14.97,5453,4.9
26752,209,12.41,-15.621,5460,4.9
26880,210,12.36,-15.516,5467,4.9
27008,211,12.52,-15.852,5472,4.9
27136,212,12.57,-15.937,5477,5.0
27264,213,12.5,-15.79,5483,5.0
27392,214,12.23,-15.223,5489,5.0
27520,215,12.12,-14.972,5495,5.0
27648,216,12.12,-14.972,5502,5.0
27776,217,12.16,-15.076,5508,5.0
27904,218,12.19,-15.119,5515,5.1
28032,219,12.19,-15.119,5522,5.1
28160,220,12.07,-14.887,5527,5.1
28288,221,11.94,-14.594,5533,5.1
28416,222,11.94,-14.614,5539,5.1
28544,223,11.94,-14.614,5545,5.1
28672,224,11.9,-14.53,5551,5.2
28800,225,11.9,-14.55,5558,5.2
28928,226,11.96,-14.676,5562,5.2
29056,227,11.79,-14.319,5568,5.2
29184,228,11.74,-14.194,5574,5.2
29312,229,11.68,-14.068,5580,5.3
29440,230,11.86,-14.446,5587,5.3
29568,231,11.85,-14.445,5593,5.3
29696,232,11.78,-14.298,5597,5.3
29824,233,11.95,-14.655,5603,5.3
29952,234,12.1,-14.97,5608,5.3
30080,235,11.84,-14.424,5589,5.4
30208,236,11.86,-14.466,5594,5.4
30336,237,11.79,-14.319,5599,5.4
30464,238,11.74,-14.234,5604,5.4
30592,239,11.59,-13.919,5610,5.5
30720,240,11.66,-14.066,5615,5.5
30848,241,11.61,-13.961,5621,5.5
30976,242,11.44,-13.584,5625,5.5
31104,243,11.28,-13.248,5630,5.5
31232,244,11.4,-13.5,5636,5.5
31360,245,11.28,-13.248,5641,5.6
31488,246,11.22,-13.142,5646,5.6
31616,247,11.3,-13.31,5651,5.6
31744,248,11.39,-13.459,5656,5.6
31872,249,11.31,-13.291,5660,5.6
32000,250,11.32,-13.312,5666,5.6
32128,251,11.25,-13.165,5671,5.7
32256,252,11.18,-13.018,5676,5.7
32384,253,11.13,-12.913,5681,5.7
32512,254,11.37,-13.417,5685,5.7
32640,255,11.27,-13.207,5690,5.7
32768,256,11.09,-12.829,5695,5.8
32896,257,11.06,-12.806,5700,5.8
33024,258,11.02,-12.722,5704,5.8
33152,259,11.2,-13.12,5710,5.8
33280,260,11.39,-13.519,5714,5.8
33408,261,11.34,-13.414,5718,5.8
33536,262,11.01,-12.721,5722,5.9
33664,263,11.01,-12.721,5727,5.9
33792,264,11.1,-12.91,5732,5.9
33920,265,11.15,-13.015,5737,5.9
34048,266,11.02,-12.742,5741,5.9
34176,267,10.99,-12.679,5746,5.9
34304,268,10.91,-12.511,5750,6.0
34432,269,10.95,-12.595,5755,6.0
34560,270,11.0,-12.68,5760,6.0
34688,271,10.99,-12.659,5764,6.0
34816,272,11.07,-12.807,5768,6.0
34944,273,11.0,-12.66,5772,6.1
35072,274,10.99,-12.639,5776,6.1
35200,275,11.01,-12.681,5781,6.1
35328,276,11.05,-12.765,5786,6.1
35456,277,10.94,-12.534,5790,6.1
35584,278,11.01,-12.701,5793,6.1
35712,279,11.08,-12.848,5798,6.2
35840,280,11.07,-12.807,5802,6.2
35968,281,10.95,-12.575,5806,6.2
36096,282,11.11,-12.911,5811,6.2
36224,283,11.11,-12.911,5815,6.2
36352,284,11.0,-12.68,5818,6.2
36480,285,10.92,-12.512,5823,6.3
36608,286,10.87,-12.407,5826,6.3
36736,287,10.85,-12.365,5830,6.3
36864,288,10.71,-12.091,5835,6.3
36992,289,10.67,-12.007,5839,6.3
37120,290,10.59,-11.839,5842,6.4
37248,291,10.66,-11.986,5845,6.4
37376,292,10.66,-11.986,5849,6.4
37504,293,10.7,-12.07,5853,6.4
37632,294,10.59,-11.839,5858,6.4
37760,295,10.63,-11.923,5862,6.4
37888,296,10.7,-12.05,5865,6.5
38016,297,10.6,-11.84,5869,6.5
38144,298,10.52,-11.672,5873,6.5
38272,299,10.44,-11.504,5877,6.5
38400,300,10.52,-11.672,5881,6.5
38528,301,10.46,-11.546,5882,6.5
38656,302,10.49,-11.609,5885,6.6
38784,303,10.41,-11.421,5888,6.6
38912,304,10.37,-11.337,5891,6.6
39040,305,10.47,-11.547,5895,6.6
39168,306,10.49,-11.589,5898,6.6
39296,307,10.37,-11.317,5902,6.7
39424,308,10.42,-11.402,5904,6.7
39552,309,10.36,-11.276,5908,6.7
39680,310,10.41,-11.381,5911,6.7
39808,311,10.43,-11.403,5915,6.7
39936,312,10.33,-11.213,5918,6.7
40064,313,10.31,-11.171,5897,6.8
40192,314,10.25,-11.065,5900,6.8
40320,315,10.2,-10.96,5903,6.8
40448,316,10.01,-10.541,5906,6.8
40576,317,10.05,-10.625,5910,6.9
40704,318,10.04,-10.604,5913,6.9
40832,319,9.89,-10.329,5916,6.9
40960,320,9.91,-10.371,5919,6.9
41088,321,9.81,-10.161,5922,6.9
41216,322,9.79,-10.119,5926,7.0
41344,323,9.86,-10.246,5930,7.0
41472,324,9.77,-10.097,5932,7.0
41600,325,9.76,-10.076,5935,7.0
41728,326,9.69,-9.929,5939,7.0
41856,327,9.76,-10.056,5942,7.0
41984,328,9.84,-10.224,5946,7.1
42112,329,9.88,-10.308,5949,7.1
42240,330,9.87,-10.307,5951,7.1
42368,331,9.78,-10.118,5954,7.1
42496,332,9.91,-10.391,5957,7.1
42624,333,9.86,-10.286,5961,7.2
42752,334,9.73,-10.033,5964,7.2
42880,335,9.82,-10.222,5967,7.2
43008,336,9.73,-10.013,5969,7.2
43136,337,9.72,-9.972,5972,7.2
43264,338,9.69,-9.909,5975,7.2
43392,339,9.68,-9.848,5979,7.3
43520,340,9.64,-9.744,5982,7.3
43648,341,9.65,-9.765,5985,7.3
43776,342,9.6,-9.66,5987,7.3
43904,343,9.58,-9.618,5990,7.3
44032,344,9.64,-9.784,5993,7.3
44160,345,9.69,-9.889,5996,7.4
44288,346,9.64,-9.804,5999,7.4
44416,347,9.73,-10.013,6002,7.4
44544,348,9.7,-9.93,6004,7.4
44672,349,9.69,-9.909,6007,7.4
44800,350,9.7,-9.93,6009,7.5
44928,351,9.81,-10.161,6013,7.5
45056,352,9.84,-10.224,6016,7.5
45184,353,9.75,-10.035,6019,7.5
45312,354,9.77,-10.077,6021,7.5
45440,355,9.71,-9.991,6023,7.5
45568,356,9.68,-9.908,6026,7.6
45696,357,9.64,-9.824,6029,7.6
45824,358,9.6,-9.74,6032,7.6
45952,359,9.46,-9.446,6035,7.6
46080,360,9.45,-9.425,6037,7.6
46208,361,9.34,-9.194,6040,7.7
46336,362,9.35,-9.195,6042,7.7
46464,363,9.45,-9.425,6046,7.7
46592,364,9.4,-9.32,6049,7.7
46720,365,9.31,-9.131,6051,7.7
46848,366,9.31,-9.131,6053,7.7
46976,367,9.35,-9.215,6056,7.8
47104,368,9.26,-9.026,6059,7.8
47232,369,9.34,-9.154,6061,7.8
47360,370,9.26,-8.986,6064,7.8
47488,371,9.32,-9.112,6067,7.8
47616,372,9.34,-9.154,6069,7.8
47744,373,9.37,-9.217,6071,7.9
47872,374,9.5,-9.49,6074,7.9
48000,375,9.41,-9.301,6077,7.9
48128,376,9.35,-9.195,6080,7.9
48256,377,9.37,-9.257,6083,7.9
48384,378,9.25,-9.025,6084,8.0
48512,379,9.24,-9.004,6087,8.0
48640,380,9.29,-9.089,6089,8.0
48768,381,9.21,-8.901,6092,8.0
48896,382,9.21,-8.901,6094,8.0
49024,383,9.14,-8.754,6097,8.0
49152,384,9.1,-8.67,6098,8.1
49280,385,9.21,-8.901,6101,8.1
49408,386,9.18,-8.818,6104,8.1
49536,387,9.18,-8.818,6106,8.1
49664,388,9.11,-8.691,6109,8.1
49792,389,9.11,-8.631,6111,8.1
49920,390,9.09,-8.569,6112,8.2
50048,391,9.06,-8.486,6097,8.2
50176,392,9.01,-8.381,6100,8.2
50304,393,8.95,-8.255,6102,8.2
50432,394,8.95,-8.255,6103,8.3
50560,395,8.93,-8.213,6106,8.3
50688,396,8.98,-8.358,6108,8.3
50816,397,8.94,-8.294,6110,8.3
50944,398,8.92,-8.272,6113,8.3
51072,399,8.91,-8.251,6115,8.4
51200,400,8.96,-8.376,6116,8.4
51328,401,8.98,-8.418,6116,8.4
51456,402,8.94,-8.314,6118,8.4
51584,403,8.86,-8.166,6120,8.4
51712,404,8.84,-8.124,6123,8.4
51840,405,8.86,-8.146,6125,8.5
51968,406,8.95,-8.315,6127,8.5
52096,407,8.82,-8.062,6129,8.5
52224,408,8.89,-8.209,6131,8.5
52352,409,8.89,-8.209,6134,8.5
52480,410,9.02,-8.462,6136,8.6
52608,411,9.13,-8.673,6138,8.6
52736,412,9.16,-8.736,6140,8.6
52864,413,9.12,-8.672,6142,8.6
52992,414,9.2,-8.82,6144,8.6
53120,415,9.2,-8.82,6146,8.6
53248,416,9.15,-8.715,6149,8.7
53376,417,9.02,-8.462,6151,8.7
53504,418,8.87,-8.167,6152,8.7
53632,419,8.88,-8.188,6155,8.7
53760,420,8.89,-8.209,6157,8.7
53888,421,8.93,-8.293,6159,8.7
54016,422,8.84,-8.124,6161,8.8
54144,423,8.88,-8.208,6163,8.8
54272,424,8.92,-8.292,6164,8.8
54400,425,8.97,-8.397,6166,8.8
54528,426,8.9,-8.27,6169,8.8
54656,427,8.81,-8.081,6171,8.9
54784,428,8.75,-7.955,6173,8.9
54912,429,8.71,-7.871,6175,8.9
55040,430,8.74,-7.954,6176,8.9
55168,431,8.73,-7.933,6178,8.9
55296,432,8.76,-7.996,6180,8.9
55424,433,8.72,-7.912,6182,9.0
55552,434,8.77,-7.997,6184,9.0
55680,435,8.77,-7.997,6186,9.0
55808,436,8.79,-8.039,6187,9.0
55936,437,8.75,-7.915,6189,9.0
56064,438,8.73,-7.873,6191,9.1
56192,439,8.75,-7.855,6193,9.1
56320,440,8.73,-7.813,6196,9.1
56448,441,8.71,-7.771,6196,9.1
56576,442,8.69,-7.709,6197,9.1
56704,443,8.71,-7.731,6195,9.2
56832,444,8.67,-7.687,6192,9.2
56960,445,8.66,-7.646,6193,9.2
57088,446,8.62,-7.622,6194,9.2
57216,447,8.61,-7.581,6196,9.2
57344,448,8.63,-7.643,6198,9.3
57472,449,8.55,-7.515,6199,9.3
57600,450,8.57,-7.557,6201,9.3
57728,451,8.62,-7.662,6203,9.3
57856,452,8.64,-7.724,6204,9.3
57984,453,8.64,-7.724,6206,9.3
58112,454,8.65,-7.765,6208,9.4
58240,455,8.65,-7.765,6210,9.4
58368,456,8.63,-7.723,6212,9.4
58496,457,8.65,-7.745,6213,9.4
58624,458,8.66,-7.766,6214,9.4
58752,459,8.63,-7.703,6216,9.5
58880,460,8.66,-7.746,6218,9.5
59008,461,8.7,-7.83,6220,9.5
59136,462,8.68,-7.788,6221,9.5
59264,463,8.74,-7.914,6222,9.5
59392,464,8.64,-7.724,6224,9.5
59520,465,8.68,-7.808,6226,9.6
59648,466,8.67,-7.787,6227,9.6
59776,467,8.63,-7.723,6229,9.6
59904,468,8.58,-7.618,6231,9.6
60032,469,8.58,-7.618,6213,9.7
60160,470,8.73,-7.933,6216,9.7
60288,471,8.7,-7.87,6217,9.7
60416,472,8.64,-7.744,6219,9.7
60544,473,8.65,-7.745,6220,9.7
60672,474,8.71,-7.871,6221,9.8
60800,475,8.66,-7.766,6223,9.8
60928,476,8.57,-7.577,6225,9.8
61056,477,8.5,-7.43,6227,9.8
61184,478,8.51,-7.451,6229,9.8
61312,479,8.52,-7.452,6230,9.8
61440,480,8.48,-7.368,6231,9.9
61568,481,8.46,-7.306,6233,9.9
61696,482,8.49,-7.369,6234,9.9
61824,483,8.46,-7.306,6236,9.9
61952,484,8.42,-7.202,6238,9.9
62080,485,8.42,-7.182,6239,9.9
62208,486,8.41,-7.201,6240,10.0
62336,487,8.42,-7.182,6242,10.0
62464,488,8.42,-7.202,6244,10.0
62592,489,8.41,-7.141,6245,10.0
62720,490,8.43,-7.183,6246,10.0
62848,491,8.5,-7.33,6247,10.1
62976,492,8.55,-7.455,6249,10.1
63104,493,8.47,-7.307,6251,10.1
63232,494,8.48,-7.348,6253,10.1
63360,495,8.51,-7.431,6255,10.1
63488,496,8.47,-7.367,6257,10.1
63616,497,8.49,-7.429,6257,10.2
63744,498,8.49,-7.429,6259,10.2
63872,499,8.46,-7.366,6261,10.2
64000,500,8.52,-7.492,6262,10.2
64128,501,8.53,-7.493,6263,10.2
64256,502,8.54,-7.494,6265,10.3
64384,503,8.55,-7.515,6257,10.3
64512,504,8.48,-7.328,6255,10.3
64640,505,8.45,-7.265,6257,10.3
64768,506,8.44,-7.224,6258,10.3
64896,507,8.41,-7.181,6259,10.4
65024,508,8.41,-7.201,6260,10.4
65152,509,8.4,-7.16,6262,10.4
65280,510,8.42,-7.242,6263,10.4
65408,511,8.43,-7.263,6265,10.4
65536,512,8.44,-7.284,6267,10.5
65664,513,8.41,-7.241,6268,10.5
65792,514,8.37,-7.157,6269,10.5
65920,515,8.36,-7.136,6270,10.5
66048,516,8.29,-6.969,6272,10.5
66176,517,8.32,-7.032,6273,10.5
66304,518,8.37,-7.137,6275,10.6
66432,519,8.39,-7.159,6276,10.6
66560,520,8.41,-7.201,6277,10.6
66688,521,8.46,-7.326,6279,10.6
66816,522,8.5,-7.43,6280,10.6
66944,523,8.46,-7.326,6282,10.7
67072,524,8.48,-7.348,6283,10.7
67200,525,8.44,-7.264,6284,10.7
67328,526,8.46,-7.326,6285,10.7
67456,527,8.43,-7.263,6287,10.7
67584,528,8.41,-7.221,6288,10.7
67712,529,8.39,-7.199,6290,10.8
67840,530,8.42,-7.262,6291,10.8
67968,531,8.38,-7.158,6292,10.8
68096,532,8.39,-7.179,6293,10.8
68224,533,8.31,-7.011,6295,10.8
68352,534,8.29,-6.949,6296,10.9
68480,535,8.28,-6.928,6298,10.9
68608,536,8.22,-6.822,6299,10.9
68736,537,8.26,-6.926,6300,10.9
68864,538,8.23,-6.843,6302,10.9
68992,539,8.29,-6.969,6303,10.9
69120,540,8.3,-6.99,6305,11.0
69248,541,8.34,-7.094,6306,11.0
69376,542,8.38,-7.178,6307,11.0
69504,543,8.34,-7.054,6309,11.0
69632,544,8.39,-7.179,6310,11.0
69760,545,8.34,-7.074,6312,11.1
69888,546,8.38,-7.158,6313,11.1
70016,547,8.38,-7.138,6299,11.1
70144,548,8.39,-7.159,6301,11.1
70272,549,8.37,-7.137,6302,11.1
70400,550,8.38,-7.158,6304,11.2
70528,551,8.35,-7.095,6305,11.2
70656,552,8.45,-7.305,6307,11.2
70784,553,8.46,-7.326,6307,11.2
70912,554,8.45,-7.305,6309,11.2
71040,555,8.45,-7.305,6310,11.3
71168,556,8.4,-7.2,6311,11.3
71296,557,8.44,-7.264,6313,11.3
71424,558,8.42,-7.222,6313,11.3
71552,559,8.37,-7.077,6314,11.3
71680,560,8.36,-7.076,6316,11.3
71808,561,8.33,-7.013,6317,11.4
71936,562,8.32,-6.992,6318,11.4
72064,563,8.31,-6.991,6320,11.4
72192,564,8.24,-6.864,6320,11.4
72320,565,8.29,-7.009,6321,11.4
72448,566,8.28,-6.968,6321,11.5
72576,567,8.34,-7.094,6322,11.5
72704,568,8.37,-7.157,6323,11.5
72832,569,8.4,-7.22,6323,11.5
72960,570,8.4,-7.22,6324,11.5
73088,571,8.38,-7.178,6325,11.6
73216,572,8.32,-7.072,6326,11.6
73344,573,8.31,-7.051,6327,11.6
73472,574,8.24,-6.884,6328,11.6
73600,575,8.25,-6.905,6329,11.6
73728,576,8.24,-6.864,6330,11.6
73856,577,8.27,-6.927,6332,11.7
73984,578,8.32,-7.032,6333,11.7
74112,579,8.33,-7.053,6334,11.7
74240,580,8.32,-7.052,6335,11.7
74368,581,8.35,-7.115,6336,11.7
74496,582,8.34,-7.094,6337,11.8
