total_timesteps,iterations,ep_len_mean,ep_rew_mean,fps,time_elapsed
16384,1,15.46,-24.646,5528,3.0
32768,2,12.12,-17.632,2930,11.2
49152,3,10.2,-13.58,2533,19.4
65536,4,8.38,-9.758,2368,27.7
81920,5,7.56,-8.056,2279,35.9
98304,6,7.02,-6.902,2223,44.2
114688,7,6.35,-5.535,2183,52.5
131072,8,6.31,-5.451,2154,60.8
147456,9,6.22,-5.262,2132,69.2
163840,10,6.12,-5.012,2114,77.5
180224,11,6.09,-4.929,2099,85.8
196608,12,6.07,-4.907,2086,94.2
212992,13,6.02,-4.782,2076,102.6
229376,14,6.01,-4.781,2068,110.9
245760,15,6.02,-4.762,2059,119.3
262144,16,6.01,-4.781,2052,127.7
278528,17,6.02,-4.782,2046,136.1
294912,18,6.0,-4.7,2040,144.5
311296,19,6.0,-4.66,2035,152.9
327680,20,6.01,-4.601,2031,161.3
344064,21,6.0,-4.62,2027,169.7
360448,22,6.0,-4.6,2023,178.1
376832,23,6.0,-4.62,2020,186.5
393216,24,6.0,-4.38,2017,194.9
409600,25,6.01,-4.361,2014,203.3
425984,26,6.0,-4.26,2012,211.7
442368,27,6.0,-3.875,2009,220.1
458752,28,6.0,-3.94,2007,228.6
475136,29,6.01,-3.426,2004,237.1
491520,30,6.01,-3.516,2001,245.6
507904,31,6.02,-3.122,1999,254.1
524288,32,6.0,-2.555,1996,262.6
540672,33,6.0,-2.52,1993,271.2
557056,34,6.01,-2.621,1990,279.9
573440,35,6.0,-1.93,1986,288.6
589824,36,6.01,-1.471,1982,297.5
606208,37,6.0,-1.14,1978,306.3
622592,38,6.01,-0.796,1974,315.3
638976,39,6.01,-0.606,1969,324.4
655360,40,6.0,-0.47,1964,333.6
671744,41,6.01,0.019,1958,342.9
688128,42,6.01,0.084,1952,352.5
704512,43,6.0,0.275,1945,362.1
720896,44,6.0,0.695,1939,371.7
737280,45,6.0,0.93,1932,381.5
753664,46,6.01,1.474,1925,391.3
770048,47,6.01,1.319,1918,401.3
786432,48,6.01,1.589,1912,411.3
802816,49,6.01,1.664,1905,421.4
819200,50,6.0,1.8,1898,431.5
835584,51,6.0,1.75,1891,441.8
851968,52,6.0,1.98,1884,452.0
868352,53,6.0,2.045,1878,462.2
884736,54,6.01,2.209,1872,472.5
901120,55,6.0,2.205,1866,482.9
917504,56,6.0,2.495,1860,493.2
933888,57,6.0,2.56,1854,503.6
950272,58,6.0,2.635,1849,513.9
966656,59,6.0,2.88,1843,524.3
983040,60,6.01,2.864,1838,534.7
999424,61,6.01,2.894,1833,545.1
1015808,62,6.0,3.05,1828,555.5
