total_timesteps,iterations,ep_len_mean,ep_rew_mean,fps,time_elapsed
16384,1,29.1,-48.05,5468,3.0
32768,2,27.44,-44.544,2433,13.5
49152,3,21.81,-32.701,2264,21.7
65536,4,19.39,-27.679,2187,30.0
81920,5,17.56,-23.776,2141,38.3
98304,6,15.27,-19.007,2113,46.5
114688,7,14.16,-16.736,2091,54.8
131072,8,13.16,-14.576,2075,63.2
147456,9,12.64,-13.504,2062,71.5
163840,10,11.85,-11.745,2052,79.8
180224,11,11.24,-10.524,2042,88.2
196608,12,10.68,-9.348,2035,96.6
212992,13,10.33,-8.633,2029,105.0
229376,14,10.22,-8.402,2023,113.3
245760,15,10.13,-8.153,2017,121.8
262144,16,10.04,-7.984,2013,130.2
278528,17,10.08,-8.128,2009,138.6
294912,18,10.06,-8.026,2006,147.0
311296,19,10.02,-7.982,2003,155.4
327680,20,10.05,-8.045,2000,163.8
344064,21,10.02,-7.942,1998,172.2
360448,22,10.04,-8.044,1996,180.6
376832,23,10.06,-8.026,1994,188.9
393216,24,10.04,-7.984,1992,197.3
409600,25,10.03,-7.963,1991,205.7
425984,26,10.03,-7.943,1989,214.1
442368,27,10.02,-7.962,1988,222.5
458752,28,10.01,-7.981,1987,230.9
475136,29,10.01,-7.961,1985,239.3
491520,30,10.05,-8.045,1984,247.7
507904,31,10.02,-7.862,1983,256.1
524288,32,10.03,-8.043,1981,264.6
540672,33,10.02,-7.942,1980,273.0
557056,34,10.0,-7.96,1979,281.4
573440,35,10.01,-7.841,1978,289.8
589824,36,10.04,-8.024,1977,298.2
606208,37,10.03,-7.903,1976,306.7
622592,38,10.01,-7.981,1976,315.0
638976,39,10.04,-8.044,1975,323.4
655360,40,10.02,-7.902,1975,331.8
671744,41,10.01,-7.921,1974,340.1
688128,42,10.02,-7.982,1974,348.5
704512,43,10.0,-7.84,1973,356.9
720896,44,10.03,-7.983,1973,365.3
737280,45,10.05,-7.985,1973,373.6
753664,46,10.02,-7.922,1973,382.0
770048,47,10.01,-7.941,1972,390.3
786432,48,10.01,-7.821,1971,398.8
802816,49,10.01,-7.881,1971,407.2
819200,50,10.02,-7.842,1971,415.5
835584,51,10.01,-7.941,1971,423.8
851968,52,10.02,-7.942,1971,432.2
868352,53,10.02,-7.982,1971,440.5
884736,54,10.02,-7.902,1971,448.9
901120,55,10.03,-7.963,1970,457.2
917504,56,10.03,-7.863,1970,465.5
933888,57,10.02,-7.922,1970,473.9
950272,58,10.0,-7.9,1970,482.3
966656,59,10.04,-7.964,1970,490.6
983040,60,10.0,-7.86,1970,499.0
999424,61,10.01,-7.901,1970,507.3
1015808,62,10.02,-8.002,1969,515.7
