total_timesteps,iterations,ep_len_mean,ep_rew_mean,fps,time_elapsed
16384,1,21.08,-33.848,5417,3.0
32768,2,18.47,-28.287,2932,11.2
49152,3,15.83,-22.783,2544,19.3
65536,4,14.23,-19.423,2383,27.5
81920,5,12.73,-16.273,2296,35.7
98304,6,11.27,-13.247,2242,43.8
114688,7,10.77,-12.177,2201,52.1
131072,8,9.67,-9.867,2173,60.3
147456,9,8.91,-8.251,2151,68.5
163840,10,8.56,-7.536,2133,76.8
180224,11,8.25,-6.865,2119,85.0
196608,12,8.11,-6.611,2105,93.4
212992,13,8.0,-6.34,2094,101.7
229376,14,8.06,-6.466,2085,110.0
245760,15,8.01,-6.401,2077,118.3
262144,16,8.03,-6.383,2070,126.6
278528,17,8.04,-6.384,2065,134.9
294912,18,8.03,-6.323,2060,143.2
311296,19,8.0,-6.3,2055,151.5
327680,20,8.0,-6.26,2051,159.7
344064,21,8.01,-6.321,2047,168.0
360448,22,8.03,-6.223,2043,176.4
376832,23,8.01,-6.021,2040,184.6
393216,24,8.01,-6.061,2037,193.0
409600,25,8.02,-5.902,2034,201.3
425984,26,8.0,-5.8,2032,209.6
442368,27,8.02,-5.237,2029,218.0
458752,28,8.0,-5.435,2026,226.3
475136,29,8.04,-5.014,2024,234.7
491520,30,8.0,-4.955,2021,243.1
507904,31,8.0,-4.85,2018,251.6
524288,32,8.02,-4.002,2016,260.1
540672,33,8.01,-3.951,2012,268.6
557056,34,8.03,-3.373,2009,277.2
573440,35,8.02,-2.542,2004,286.0
589824,36,8.01,-2.596,2000,294.9
606208,37,8.01,-1.446,1994,304.0
622592,38,8.03,-0.978,1986,313.5
638976,39,8.02,-0.627,1977,323.2
655360,40,8.0,-0.175,1967,333.2
671744,41,8.02,0.348,1957,343.2
688128,42,8.01,0.774,1948,353.1
704512,43,8.02,1.313,1939,363.3
720896,44,8.01,1.564,1929,373.6
737280,45,8.03,1.777,1919,384.1
753664,46,8.0,2.12,1909,394.8
770048,47,8.01,2.464,1898,405.5
786432,48,8.03,2.552,1888,416.4
802816,49,8.01,2.979,1878,427.4
819200,50,8.01,2.984,1868,438.5
835584,51,8.02,3.503,1857,449.8
851968,52,8.02,3.433,1846,461.3
868352,53,8.0,3.865,1836,472.8
884736,54,8.01,3.664,1826,484.4
901120,55,8.0,4.075,1816,496.1
917504,56,8.01,4.004,1806,507.8
933888,57,8.0,4.185,1797,519.6
950272,58,8.0,4.24,1787,531.6
966656,59,8.01,4.204,1778,543.5
983040,60,8.0,4.54,1769,555.4
999424,61,8.02,4.648,1761,567.4
1015808,62,8.01,4.324,1753,579.4
