total_timesteps,iterations,ep_len_mean,ep_rew_mean,fps,time_elapsed
16384,1,15.46,-24.646,5520,3.0
32768,2,13.19,-19.879,5064,6.5
49152,3,11.03,-15.323,4964,9.9
65536,4,11.12,-15.532,4898,13.4
81920,5,9.31,-11.731,4858,16.9
98304,6,8.82,-10.722,4823,20.4
114688,7,8.1,-9.17,4770,24.0
131072,8,7.62,-8.202,4748,27.6
147456,9,7.14,-7.174,4736,31.1
163840,10,6.83,-6.543,4721,34.7
180224,11,6.55,-5.955,4715,38.2
196608,12,6.41,-5.641,4707,41.8
212992,13,6.19,-5.119,4698,45.3
229376,14,6.17,-5.157,4684,49.0
245760,15,6.13,-5.073,4672,52.6
262144,16,6.05,-4.885,4661,56.2
278528,17,6.04,-4.864,4652,59.9
294912,18,6.0,-4.78,4643,63.5
311296,19,6.0,-4.72,4634,67.2
327680,20,6.01,-4.741,4627,70.8
344064,21,6.02,-4.762,4620,74.5
360448,22,6.01,-4.701,4613,78.1
376832,23,6.01,-4.661,4608,81.8
393216,24,6.0,-4.38,4600,85.5
409600,25,6.0,-4.52,4595,89.1
425984,26,6.03,-4.258,4588,92.8
442368,27,6.0,-3.975,4579,96.6
458752,28,6.0,-3.62,4573,100.3
475136,29,6.02,-3.582,4562,104.1
491520,30,6.0,-2.85,4549,108.0
507904,31,6.02,-3.002,4536,112.0
524288,32,6.01,-2.306,4520,116.0
540672,33,6.02,-1.937,4498,120.2
557056,34,6.03,-1.733,4476,124.4
573440,35,6.03,-1.023,4447,128.9
589824,36,6.06,-0.236,4416,133.6
606208,37,6.06,0.134,4379,138.4
622592,38,6.03,0.672,4338,143.5
638976,39,6.04,1.156,4295,148.8
655360,40,6.05,1.665,4247,154.3
671744,41,6.02,1.988,4198,160.0
688128,42,6.03,2.422,4146,165.9
704512,43,6.03,2.497,4094,172.1
720896,44,6.01,2.684,4041,178.4
737280,45,6.04,2.956,3989,184.8
753664,46,6.02,3.438,3935,191.5
770048,47,6.02,3.333,3883,198.3
786432,48,6.01,3.489,3832,205.2
802816,49,6.03,3.812,3781,212.3
819200,50,6.02,3.903,3732,219.4
835584,51,6.02,4.028,3680,227.0
851968,52,6.0,3.995,3635,234.3
868352,53,6.03,4.262,3593,241.7
884736,54,6.0,3.965,3552,249.0
901120,55,6.0,4.175,3512,256.5
917504,56,6.02,4.018,3477,263.8
933888,57,6.0,4.24,3442,271.3
950272,58,6.0,4.245,3410,278.7
966656,59,6.01,4.344,3379,286.1
983040,60,6.01,4.194,3349,293.5
999424,61,6.01,4.164,3320,301.0
1015808,62,6.0,4.05,3292,308.5
