total_timesteps,iterations,ep_len_mean,ep_rew_mean,fps,time_elapsed
16384,1,29.1,-48.05,5448,3.0
32768,2,26.05,-41.665,5074,6.5
49152,3,25.31,-40.031,4943,9.9
65536,4,23.83,-36.983,4830,13.6
81920,5,22.38,-33.898,4789,17.1
98304,6,19.93,-28.753,4741,20.7
114688,7,17.36,-23.356,4730,24.2
131072,8,15.87,-20.287,4683,28.0
147456,9,15.46,-19.426,4657,31.7
163840,10,14.36,-17.076,4639,35.3
180224,11,13.12,-14.512,4630,38.9
196608,12,12.88,-13.988,4619,42.6
212992,13,11.87,-11.867,4606,46.2
229376,14,11.6,-11.34,4595,49.9
245760,15,11.12,-10.292,4584,53.6
262144,16,10.89,-9.789,4578,57.3
278528,17,10.71,-9.371,4573,60.9
294912,18,10.67,-9.367,4565,64.6
311296,19,10.49,-9.009,4557,68.3
327680,20,10.35,-8.655,4550,72.0
344064,21,10.3,-8.59,4544,75.7
360448,22,10.26,-8.486,4539,79.4
376832,23,10.11,-8.151,4534,83.1
393216,24,10.12,-8.192,4527,86.8
409600,25,10.06,-8.026,4524,90.5
425984,26,10.12,-8.172,4519,94.2
442368,27,10.07,-8.127,4515,98.0
458752,28,10.03,-7.983,4512,101.7
475136,29,10.09,-8.089,4508,105.4
491520,30,10.08,-8.108,4505,109.1
507904,31,10.07,-8.027,4503,112.8
524288,32,10.05,-8.025,4499,116.5
540672,33,10.05,-8.025,4497,120.2
557056,34,10.01,-7.881,4495,123.9
573440,35,10.04,-8.004,4491,127.7
589824,36,10.02,-7.922,4490,131.4
606208,37,10.02,-7.982,4487,135.1
622592,38,10.07,-8.127,4484,138.8
638976,39,10.06,-7.986,4483,142.5
655360,40,10.05,-7.965,4481,146.2
671744,41,10.05,-8.005,4480,149.9
688128,42,10.03,-7.923,4478,153.7
704512,43,10.03,-7.923,4476,157.4
720896,44,10.01,-7.741,4474,161.1
737280,45,10.03,-7.943,4473,164.8
753664,46,10.03,-7.883,4471,168.5
770048,47,10.04,-7.859,4469,172.3
786432,48,10.0,-7.72,4468,176.0
802816,49,10.03,-7.643,4466,179.7
819200,50,10.03,-7.418,4465,183.5
835584,51,10.02,-7.232,4461,187.3
851968,52,10.03,-6.843,4458,191.1
868352,53,10.03,-6.798,4455,194.9
884736,54,10.05,-6.34,4449,198.8
901120,55,10.05,-5.955,4444,202.8
917504,56,10.02,-5.537,4438,206.7
933888,57,10.07,-5.647,4429,210.8
950272,58,10.05,-4.715,4418,215.0
966656,59,10.05,-3.985,4407,219.3
983040,60,10.06,-3.511,4391,223.9
999424,61,10.09,-2.904,4375,228.4
1015808,62,10.05,-2.37,4355,233.2
