total_timesteps,iterations,ep_len_mean,ep_rew_mean,fps,time_elapsed
16384,1,21.08,-33.848,5516,3.0
32768,2,19.66,-30.846,5195,6.3
49152,3,17.63,-26.623,5075,9.7
65536,4,16.14,-23.454,4987,13.1
81920,5,15.78,-22.718,4935,16.6
98304,6,13.73,-18.393,4894,20.1
114688,7,12.33,-15.353,4853,23.6
131072,8,11.42,-13.542,4826,27.2
147456,9,10.76,-12.136,4806,30.7
163840,10,10.12,-10.792,4773,34.3
180224,11,9.79,-10.119,4756,37.9
196608,12,9.33,-9.173,4744,41.4
212992,13,8.93,-8.353,4729,45.0
229376,14,8.62,-7.682,4714,48.7
245760,15,8.41,-7.221,4698,52.3
262144,16,8.34,-7.014,4686,55.9
278528,17,8.22,-6.862,4674,59.6
294912,18,8.15,-6.675,4663,63.2
311296,19,8.14,-6.654,4654,66.9
327680,20,8.05,-6.445,4645,70.5
344064,21,8.01,-6.341,4635,74.2
360448,22,8.02,-6.362,4626,77.9
376832,23,8.01,-6.281,4618,81.6
393216,24,8.01,-6.161,4610,85.3
409600,25,8.01,-6.161,4604,89.0
425984,26,8.02,-6.102,4596,92.7
442368,27,8.01,-6.021,4586,96.4
458752,28,8.03,-5.618,4581,100.1
475136,29,8.01,-5.581,4573,103.9
491520,30,8.01,-5.116,4563,107.7
507904,31,8.02,-4.892,4555,111.5
524288,32,8.06,-4.631,4543,115.4
540672,33,8.0,-3.745,4527,119.4
557056,34,8.04,-3.354,4512,123.4
573440,35,8.03,-2.728,4492,127.6
589824,36,8.04,-1.874,4468,132.0
606208,37,8.08,-1.653,4438,136.6
622592,38,8.08,-0.933,4404,141.3
638976,39,8.08,0.182,4366,146.3
655360,40,8.13,0.457,4324,151.6
671744,41,8.04,1.036,4275,157.1
688128,42,8.07,1.483,4224,162.9
704512,43,8.05,2.175,4167,169.0
720896,44,8.05,2.55,4107,175.5
737280,45,8.02,3.203,4044,182.3
753664,46,8.08,3.402,3980,189.4
770048,47,8.06,4.099,3915,196.7
786432,48,8.05,4.0,3853,204.1
802816,49,8.02,4.463,3789,211.8
819200,50,8.02,4.873,3728,219.7
835584,51,8.05,5.04,3669,227.7
851968,52,8.04,5.361,3612,235.9
868352,53,8.03,5.157,3558,244.0
884736,54,8.07,5.093,3507,252.3
901120,55,8.01,5.319,3458,260.6
917504,56,8.0,5.495,3412,268.8
933888,57,8.02,5.673,3369,277.1
950272,58,8.02,5.148,3328,285.5
966656,59,8.01,5.434,3290,293.7
983040,60,8.01,5.604,3254,302.1
999424,61,8.0,5.44,3220,310.3
1015808,62,8.01,5.289,3187,318.6
